prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
33/9-6 DELTA,2009,0.010,0.000,0.000,0.000,0.010,0.011,44576
33/9-6 DELTA,2010,0.021,0.000,0.000,0.000,0.021,0.038,44576
33/9-6 DELTA,2011,0.019,0.000,0.000,0.000,0.019,0.007,44576
33/9-6 DELTA,2012,0.013,0.000,0.000,0.000,0.013,0.004,44576
33/9-6 DELTA,2013,0.000,0.000,0.000,0.000,0.000,0.000,44576
ALBUSKJELL,1979,0.531,0.652,0.060,0.000,1.243,0.000,43437
ALBUSKJELL,1980,1.442,1.779,0.208,0.000,3.428,0.000,43437
ALBUSKJELL,1981,1.426,2.249,0.268,0.000,3.943,0.000,43437
ALBUSKJELL,1982,0.953,1.998,0.251,0.000,3.202,0.000,43437
ALBUSKJELL,1983,0.697,1.655,0.253,0.000,2.605,0.000,43437
ALBUSKJELL,1984,0.462,1.183,0.169,0.000,1.814,0.000,43437
ALBUSKJELL,1985,0.357,1.026,0.157,0.000,1.540,0.000,43437
ALBUSKJELL,1986,0.285,0.946,0.129,0.000,1.360,0.000,43437
ALBUSKJELL,1987,0.216,0.778,0.106,0.000,1.100,0.000,43437
ALBUSKJELL,1988,0.176,0.613,0.096,0.000,0.884,0.000,43437
ALBUSKJELL,1989,0.142,0.456,0.067,0.000,0.665,0.000,43437
ALBUSKJELL,1990,0.109,0.339,0.046,0.000,0.493,0.000,43437
ALBUSKJELL,1991,0.091,0.271,0.031,0.000,0.393,0.000,43437
ALBUSKJELL,1992,0.087,0.266,0.027,0.000,0.380,0.000,43437
ALBUSKJELL,1993,0.096,0.309,0.033,0.000,0.437,0.000,43437
ALBUSKJELL,1994,0.081,0.264,0.028,0.000,0.373,0.000,43437
ALBUSKJELL,1995,0.074,0.236,0.024,0.000,0.335,0.000,43437
ALBUSKJELL,1996,0.054,0.218,0.021,0.000,0.293,0.000,43437
ALBUSKJELL,1997,0.046,0.192,0.020,0.000,0.258,0.000,43437
ALBUSKJELL,1998,0.030,0.106,0.012,0.000,0.147,0.000,43437
ALVE,2009,0.259,0.900,0.313,0.000,1.472,0.003,4444332
ALVE,2010,0.244,0.839,0.289,0.000,1.372,0.000,4444332
ALVE,2011,0.318,0.747,0.270,0.000,1.335,0.002,4444332
ALVE,2012,0.243,0.505,0.186,0.000,0.935,0.000,4444332
ALVE,2013,0.024,0.047,0.017,0.000,0.088,0.000,4444332
