wlbWellboreName,wlbDrillingOperator,wlbProductionLicence,wlbWellType,wlbPurposePlanned,wlbContent,wlbEntryDate,wlbCompletionDate,wlbField,wlbMainArea,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNpdidWellbore,dateSyncNPD
1/2-1,PHILLIPS PETROLEUM COMPANY NORWAY,143,EXPLORATION,WILDCAT,OIL,1989-03-20,1989-06-04,BLANE,NORTH SEA,ED50,56,53,15.07,N,2,28,35.7,E,56.887519,2.476583,6305128.26,468106.29,31,1382,2013-05-08
1/2-2,Paladin Resources Norge AS,143 CS,EXPLORATION,WILDCAT,OIL SHOWS,2005-12-14,2006-02-02,NULL,NORTH SEA,ED50,56,59,32,N,2,29,47.66,E,56.992222,2.496572,6316774.33,469410.10,31,5192,2013-05-08
1/2-U-1,ConocoPhillips Skandinavia AS,143,SHALLOW,NULL,NULL,2009-05-09,2009-05-09,NULL,NORTH SEA,ED50,56,56,55.58,N,2,27,5.01,E,56.948772,2.451392,6311958.73,466625.99,31,6148,2013-05-08
1/2-U-2,ConocoPhillips Skandinavia AS,143,SHALLOW,NULL,NULL,2009-05-12,2009-05-12,NULL,NORTH SEA,ED50,56,56,56.95,N,2,27,7.69,E,56.949153,2.452136,6312000.73,466671.62,31,6149,2013-05-08
1/2-U-3,ConocoPhillips Skandinavia AS,143,SHALLOW,NULL,NULL,2009-05-12,2009-05-12,NULL,NORTH SEA,ED50,56,56,54.99,N,2,27,8.52,E,56.948608,2.452367,6311940.01,466685.16,31,6150,2013-05-08
1/3-1,A/S Norske Shell,011,EXPLORATION,WILDCAT,GAS,1968-07-06,1968-11-11,NULL,NORTH SEA,ED50,56,51,21,N,2,51,5,E,56.855833,2.851389,6301488.86,490936.87,31,154,2013-05-08
1/3-2,A/S Norske Shell,011,EXPLORATION,WILDCAT,DRY,1969-05-14,1969-07-27,NULL,NORTH SEA,ED50,56,56,10,N,2,45,0,E,56.936111,2.750000,6310443.20,484786.28,31,165,2013-05-08
1/3-3,Elf Petroleum Norge AS,065,EXPLORATION,WILDCAT,OIL,1982-08-22,1983-03-24,TAMBAR,NORTH SEA,ED50,56,57,8.56,N,2,58,54.05,E,56.952378,2.981681,6312226.32,498885.66,31,87,2013-05-08
1/3-4,Elf Petroleum Norge AS,065,EXPLORATION,WILDCAT,OIL SHOWS,1983-02-15,1983-05-08,NULL,NORTH SEA,ED50,56,56,39.21,N,2,43,0.23,E,56.944225,2.716731,6311354.32,482765.43,31,2,2013-05-08
1/3-5,A/S Norske Shell,011,EXPLORATION,WILDCAT,DRY,1984-10-01,1985-02-11,NULL,NORTH SEA,ED50,56,46,16.02,N,2,53,38.85,E,56.771117,2.894125,6292053.66,493528.57,31,223,2013-05-08
1/3-6,Elf Petroleum Norge AS,065,EXPLORATION,WILDCAT,GAS/CONDENSATE,1991-03-11,1991-06-22,OSELVAR,NORTH SEA,ED50,56,56,14.92,N,2,42,20.81,E,56.937478,2.705781,6310606.04,482095.98,31,1521,2013-05-08
1/3-7,Elf Petroleum Norge AS,065,EXPLORATION,APPRAISAL,OIL,1995-02-13,1995-05-25,OSELVAR,NORTH SEA,ED50,56,56,25.15,N,2,40,34.61,E,56.940319,2.676281,6310930.49,480302.33,31,2505,2013-05-08
1/3-8,Amoco Norway Oil Company,011,EXPLORATION,WILDCAT,SHOWS,1996-12-12,1997-05-27,NULL,NORTH SEA,ED50,56,52,7.14,N,2,53,20.75,E,56.868650,2.889097,6302911.22,493238.84,31,2829,2013-05-08
1/3-9 S,BP Norway Limited  U.A.,065,EXPLORATION,APPRAISAL,OIL,1998-05-08,1998-07-31,TAMBAR,NORTH SEA,ED50,56,58,57.97,N,2,57,31.33,E,56.982769,2.958703,6315610.11,497490.00,31,3362,2013-05-08
1/3-10,DONG E&P Norge AS,274,EXPLORATION,APPRAISAL,OIL/GAS,2007-10-25,2008-01-07,OSELVAR,NORTH SEA,ED50,56,55,39.86,N,2,42,20.69,E,56.927739,2.705747,6309521.94,482089.29,31,5614,2013-05-08
1/3-10 A,DONG E&P Norge AS,274,EXPLORATION,APPRAISAL,OIL/GAS,2008-01-07,2008-02-13,OSELVAR,NORTH SEA,ED50,56,55,39.83,N,2,42,20.61,E,56.927731,2.705725,6309521.02,482087.93,31,5779,2013-05-08
1/3-11,DONG E&P Norge AS,274,EXPLORATION,WILDCAT,OIL,2008-05-28,2008-08-30,NULL,NORTH SEA,ED50,56,50,58.47,N,2,43,15.43,E,56.849575,2.720953,6300817.06,482979.33,31,5806,2013-05-08
1/3-12 S,BG Norge AS,297,EXPLORATION,WILDCAT,DRY,2009-12-01,2010-07-22,NULL,NORTH SEA,ED50,56,45,11.24,N,2,49,43.55,E,56.753122,2.828764,6290058.68,489528.48,31,6260,2013-05-08
1/3-A-1 H,DONG E&P Norge AS,274,DEVELOPMENT,PRODUCTION,OIL,2011-07-22,2011-09-25,OSELVAR,NORTH SEA,ED50,56,55,55.06,N,2,40,16.66,E,56.931961,2.671294,6310001.50,479994.47,31,6612,2013-05-08
1/3-A-2 H,DONG E&P Norge AS,274,DEVELOPMENT,PRODUCTION,OIL,2011-11-18,2012-02-08,OSELVAR,NORTH SEA,ED50,56,55,54.89,N,2,40,16.67,E,56.931914,2.671297,6309996.24,479994.61,31,6613,2013-05-08
1/3-A-3 H,DONG E&P Norge AS,274,DEVELOPMENT,PRODUCTION,OIL,2012-03-04,2012-05-15,OSELVAR,NORTH SEA,ED50,56,55,55.07,N,2,40,17.32,E,56.931964,2.671478,6310001.76,480005.63,31,6614,2013-05-08
1/3-K-1,BP Amoco Norge AS,065,DEVELOPMENT,PRODUCTION,OIL,2001-05-18,2001-06-04,TAMBAR,NORTH SEA,ED50,56,58,57.97,N,2,57,31.33,E,56.982769,2.958703,6315610.11,497490.00,31,4320,2013-05-08
1/3-K-3,BP Amoco Norge AS,065,DEVELOPMENT,PRODUCTION,OIL,2001-09-08,2001-11-07,TAMBAR,NORTH SEA,ED50,56,58,58.09,N,2,57,31.51,E,56.982803,2.958753,6315613.82,497493.04,31,4396,2013-05-08
1/3-K-5,BP Norge AS,065,DEVELOPMENT,OBSERVATION,OIL,2007-04-04,2007-07-01,TAMBAR ØST,NORTH SEA,ED50,56,58,58.01,N,2,57,31.57,E,56.982781,2.958769,6315611.34,497494.05,31,5485,2013-05-08
1/3-K-5 A,BP Norge AS,065,DEVELOPMENT,PRODUCTION,OIL,2007-07-02,2007-08-13,TAMBAR ØST,NORTH SEA,ED50,56,58,58.01,N,2,57,31.57,E,56.982781,2.958769,6315611.34,497494.05,31,5486,2013-05-08
1/3-K-6,BP Amoco Norge AS,065,DEVELOPMENT,PRODUCTION,OIL,2001-06-05,2001-09-06,TAMBAR,NORTH SEA,ED50,56,58,57.92,N,2,57,31.61,E,56.982756,2.958781,6315608.56,497494.72,31,4325,2013-05-08
1/3-U-1,BG Norge AS,274 BS,SHALLOW,NULL,NULL,2007-10-10,2007-10-10,NULL,NORTH SEA,ED50,56,45,10.48,N,2,49,41.9,E,56.752911,2.828306,6290035.25,489500.39,31,5686,2013-05-08
1/3-U-2,BG Norge AS,274 BS,SHALLOW,NULL,NULL,2007-10-10,2007-10-10,NULL,NORTH SEA,ED50,56,45,8.33,N,2,49,41.91,E,56.752314,2.828308,6289968.77,489500.39,31,5687,2013-05-08
1/3-U-3,BG Norge AS,274 BS,SHALLOW,NULL,NULL,2007-10-10,2007-10-10,NULL,NORTH SEA,ED50,56,45,9.4,N,2,49,38.51,E,56.752611,2.827364,6290002.00,489442.72,31,5688,2013-05-08
1/3-U-4,BG Norge AS,274 BS,SHALLOW,NULL,NULL,2007-10-11,2007-10-11,NULL,NORTH SEA,ED50,56,45,12.43,N,2,49,43.54,E,56.753453,2.828761,6290095.48,489528.40,31,5690,2013-05-08
1/3-U-5,BG Norge AS,274 BS,SHALLOW,NULL,NULL,2007-10-11,2007-10-11,NULL,NORTH SEA,ED50,56,45,12.24,N,2,49,39.64,E,56.753400,2.827678,6290089.77,489462.14,31,5691,2013-05-08
1/3-U-10,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2007-03-01,2007-03-01,NULL,NORTH SEA,ED50,56,55,39.83,N,2,42,20.61,E,56.927731,2.705725,6309521.02,482087.93,31,5499,2013-05-08
1/3-U-11,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2007-03-02,2007-03-03,NULL,NORTH SEA,ED50,56,50,58.34,N,2,43,15.35,E,56.849539,2.720931,6300813.05,482977.95,31,5500,2013-05-08
1/3-U-12,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2008-09-15,2008-09-15,NULL,NORTH SEA,ED50,56,55,55.01,N,2,40,16.99,E,56.931947,2.671386,6309999.93,480000.04,31,5928,2013-05-08
1/3-U-13,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2008-09-15,2008-09-15,NULL,NORTH SEA,ED50,56,55,55.01,N,2,40,16.99,E,56.931947,2.671386,6309999.93,480000.04,31,5929,2013-05-08
1/3-U-14,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2008-09-15,2008-09-15,NULL,NORTH SEA,ED50,56,55,55.01,N,2,40,16.99,E,56.931947,2.671386,6309999.93,480000.04,31,5930,2013-05-08
1/3-U-15,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2010-12-29,2010-12-30,NULL,NORTH SEA,ED50,56,55,53.62,N,2,40,16.3,E,56.931561,2.671194,6309957.00,479988.17,31,6520,2013-05-08
1/3-U-16,DONG E&P Norge AS,274,SHALLOW,NULL,NULL,2010-12-30,2010-12-31,NULL,NORTH SEA,ED50,56,55,53.46,N,2,40,16.36,E,56.931517,2.671211,6309952.05,479989.16,31,6521,2013-05-08
1/5-1,Phillips Petroleum Company Norway,018,EXPLORATION,WILDCAT,DRY,1973-10-12,1973-10-19,NULL,NORTH SEA,ED50,56,34,40.5,N,2,38,28,E,56.577917,2.641111,6270600.43,477951.01,31,237,2013-05-08
1/5-2,Phillips Petroleum Company Norway,018,EXPLORATION,WILDCAT,OIL,1973-10-19,1974-04-15,NULL,NORTH SEA,ED50,56,34,41.59,N,2,38,30.53,E,56.578219,2.641814,6270633.90,477994.36,31,238,2013-05-08
1/5-3 S,Conoco Norway Inc.,144,EXPLORATION,WILDCAT,OIL,1998-06-10,1998-08-06,NULL,NORTH SEA,ED50,56,41,24.52,N,2,36,54.13,E,56.690144,2.615036,6283101.44,476419.16,31,3257,2013-05-08
1/5-4 S,Amerada Hess Norge AS,144,EXPLORATION,WILDCAT,OIL SHOWS,2002-04-15,2002-05-22,NULL,NORTH SEA,ED50,56,42,32,N,2,37,41,E,56.708889,2.628056,6285183.54,477227.98,31,4521,2013-05-08
1/6-1,A/S Norske Shell,011,EXPLORATION,WILDCAT,GAS/CONDENSATE,1972-07-10,1972-11-26,ALBUSKJELL,NORTH SEA,ED50,56,38,2.4,N,2,59,50.3,E,56.634000,2.997306,6276785.58,499834.71,31,239,2013-05-08
1/6-2,A/S Norske Shell,011,EXPLORATION,WILDCAT,SHOWS,1972-11-28,1973-01-12,NULL,NORTH SEA,ED50,56,33,50.6,N,2,51,53.2,E,56.564056,2.864778,6269008.06,491689.32,31,240,2013-05-08
1/6-3,A/S Norske Shell,011,EXPLORATION,APPRAISAL,GAS/CONDENSATE,1974-04-12,1974-09-11,ALBUSKJELL,NORTH SEA,ED50,56,38,36.4,N,2,55,49.7,E,56.643444,2.930472,6277839.03,495735.82,31,241,2013-05-08
1/6-4,A/S Norske Shell,011,EXPLORATION,WILDCAT,DRY,1975-12-29,1976-04-09,NULL,NORTH SEA,ED50,56,44,52.06,N,2,42,23.64,E,56.747794,2.706567,6289490.96,482053.29,31,242,2013-05-08
1/6-5,Conoco Norway Inc.,144,EXPLORATION,WILDCAT,SHOWS,1990-07-20,1990-09-02,NULL,NORTH SEA,ED50,56,32,21.57,N,2,48,4.77,E,56.539325,2.801325,6266264.75,487781.59,31,1508,2013-05-08
1/6-6,A/S Norske Shell,011,EXPLORATION,WILDCAT,SHOWS,1992-02-10,1993-03-08,NULL,NORTH SEA,ED50,56,36,41.13,N,2,57,18.19,E,56.611425,2.955053,6274273.59,497241.02,31,1839,2013-05-08
1/6-7,Conoco Norway Inc.,144,EXPLORATION,WILDCAT,SHOWS,1992-03-16,1992-07-12,NULL,NORTH SEA,ED50,56,33,20.01,N,2,54,11.18,E,56.555558,2.903106,6268058.24,494043.59,31,1928,2013-05-08
1/6-A-1,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1978-06-25,1979-03-08,ALBUSKJELL,NORTH SEA,ED50,56,38,33.73,N,2,56,24.23,E,56.642703,2.940064,6277755.92,496324.01,31,526,2013-05-08
1/6-A-3,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1979-07-26,1979-09-17,ALBUSKJELL,NORTH SEA,ED50,56,38,33.64,N,2,56,23.9,E,56.642678,2.939972,6277753.14,496318.38,31,527,2013-05-08
1/6-A-4,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1978-09-03,1978-11-23,ALBUSKJELL,NORTH SEA,ED50,56,38,33.64,N,2,56,23.73,E,56.642678,2.939925,6277753.15,496315.49,31,528,2013-05-08
1/6-A-7,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1986-02-19,1986-06-28,ALBUSKJELL,NORTH SEA,ED50,56,38,33.73,N,2,56,23.85,E,56.642703,2.939958,6277755.93,496317.53,31,903,2013-05-08
1/6-A-8,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,NULL,1979-09-18,1980-01-04,ALBUSKJELL,NORTH SEA,ED50,56,38,33.7,N,2,56,23.68,E,56.642694,2.939911,6277755.00,496314.64,31,529,2013-05-08
1/6-A-10,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1981-01-12,1981-05-26,ALBUSKJELL,NORTH SEA,ED50,56,38,33.83,N,2,56,23.97,E,56.642731,2.939992,6277759.02,496319.58,31,530,2013-05-08
1/6-A-13,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1980-01-09,1980-04-16,ALBUSKJELL,NORTH SEA,ED50,56,38,33.93,N,2,56,24.08,E,56.642758,2.940022,6277762.11,496321.46,31,531,2013-05-08
1/6-A-15,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1979-01-14,1979-07-05,ALBUSKJELL,NORTH SEA,ED50,56,38,33.86,N,2,56,23.75,E,56.642739,2.939931,6277759.95,496315.83,31,532,2013-05-08
1/6-A-16,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1980-06-25,1981-01-01,ALBUSKJELL,NORTH SEA,ED50,56,38,33.83,N,2,56,23.58,E,56.642731,2.939883,6277759.02,496312.94,31,533,2013-05-08
1/6-A-19,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1978-11-23,1979-01-14,ALBUSKJELL,NORTH SEA,ED50,56,38,33.93,N,2,56,23.7,E,56.642758,2.939917,6277762.11,496314.98,31,534,2013-05-08
1/6-A-20,Phillips Petroleum Company Norway,011,DEVELOPMENT,PRODUCTION,GAS,1980-04-17,1980-06-27,ALBUSKJELL,NORTH SEA,ED50,56,38,33.89,N,2,56,23.53,E,56.642747,2.939869,6277760.88,496312.08,31,535,2013-05-08
1/6-U-1,BG Norge AS,297,SHALLOW,NULL,NULL,2007-10-12,2007-10-12,NULL,NORTH SEA,ED50,56,45,0.11,N,2,49,33.85,E,56.750031,2.826069,6289714.95,489362.83,31,5692,2013-05-08
1/9-1,Den norske stats oljeselskap a.s,044,EXPLORATION,WILDCAT,GAS/CONDENSATE,1976-10-14,1977-02-17,NULL,NORTH SEA,ED50,56,24,5.07,N,2,54,6.49,E,56.401408,2.901803,6250899.86,493938.99,31,243,2013-05-08
1/9-1 R,Den norske stats oljeselskap a.s,044,EXPLORATION,WILDCAT,GAS/CONDENSATE,1987-05-08,1987-05-17,NULL,NORTH SEA,ED50,56,24,5.07,N,2,54,6.49,E,56.401408,2.901803,6250899.86,493938.99,31,1444,2013-05-08
1/9-2,Den norske stats oljeselskap a.s,044,EXPLORATION,APPRAISAL,OIL SHOWS,1977-06-01,1977-08-12,NULL,NORTH SEA,ED50,56,23,52.77,N,2,55,34.63,E,56.397992,2.926286,6250517.66,495449.76,31,244,2013-05-08
1/9-3,Den norske stats oljeselskap a.s,044,EXPLORATION,WILDCAT,DRY,1977-08-13,1977-11-27,NULL,NORTH SEA,ED50,56,24,55.68,N,2,54,15.22,E,56.415467,2.904228,6252464.47,494090.84,31,245,2013-05-08
1/9-3 R,Den norske stats oljeselskap a.s,044,EXPLORATION,WILDCAT,GAS/CONDENSATE,1978-05-27,1978-09-30,NULL,NORTH SEA,ED50,56,24,55.68,N,2,54,15.22,E,56.415467,2.904228,6252464.47,494090.84,31,246,2013-05-08
